Age	pH	sd2.do	sd2.up	Source
33.0	7.87	0.03	0.03	Anagnostouetal2020
33.2	7.81	0.04	0.03	Anagnostouetal2020
33.3	7.76	0.04	0.03	Anagnostouetal2020
33.4	7.76	0.04	0.04	Anagnostouetal2020
33.6	7.82	0.04	0.03	Anagnostouetal2020
34.0	7.75	0.04	0.04	Anagnostouetal2020
34.2	7.74	0.04	0.04	Anagnostouetal2020
34.4	7.74	0.05	0.05	Anagnostouetal2020
34.6	7.78	0.05	0.05	Anagnostouetal2020
35.61	7.74	0.03	0.03	Anagnostouetal2020
36.40	7.77	0.04	0.04	Anagnostouetal2020
36.9	7.78	0.05	0.05	Anagnostouetal2020
36.96	7.76	0.03	0.04	Anagnostouetal2020
36.96	7.77	0.03	0.04	Anagnostouetal2020
37.64	7.77	0.06	0.07	Anagnostouetal2020
38.11	7.73	0.04	0.04	Anagnostouetal2020
38.78	7.73	0.03	0.03	Anagnostouetal2020
38.78	7.73	0.03	0.03	Anagnostouetal2020
38.78	7.72	0.03	0.04	Anagnostouetal2020
38.78	7.73	0.04	0.04	Anagnostouetal2020
39.12	7.76	0.03	0.03	Anagnostouetal2020
39.33	7.75	0.03	0.03	Anagnostouetal2020
39.45	7.76	0.04	0.04	Anagnostouetal2020
39.45	7.73	0.04	0.04	Anagnostouetal2020
39.81	7.70	0.03	0.03	Anagnostouetal2020
39.91	7.75	0.03	0.03	Anagnostouetal2020
39.96	7.72	0.03	0.03	Anagnostouetal2020
39.98	7.77	0.03	0.03	Anagnostouetal2020
40.00	7.73	0.03	0.04	Anagnostouetal2020
40.03	7.69	0.03	0.04	Anagnostouetal2020
40.06	7.70	0.04	0.04	Anagnostouetal2020
40.09	7.63	0.04	0.04	Anagnostouetal2020
40.11	7.66	0.04	0.03	Anagnostouetal2020
40.14	7.62	0.04	0.04	Anagnostouetal2020
40.14	7.64	0.04	0.04	Anagnostouetal2020
40.17	7.55	0.05	0.04	Anagnostouetal2020
40.24	7.73	0.03	0.04	Anagnostouetal2020
40.25	7.73	0.03	0.03	Anagnostouetal2020
40.25	7.71	0.03	0.04	Anagnostouetal2020
40.3	7.82	0.03	0.03	Anagnostouetal2020
40.31	7.72	0.03	0.03	Anagnostouetal2020
40.34	7.71	0.03	0.03	Anagnostouetal2020
40.38	7.73	0.04	0.03	Anagnostouetal2020
40.39	7.72	0.03	0.04	Anagnostouetal2020
40.52	7.71	0.04	0.04	Anagnostouetal2020
40.52	7.73	0.03	0.03	Anagnostouetal2020
40.63	7.69	0.04	0.03	Anagnostouetal2020
40.65	7.74	0.03	0.03	Anagnostouetal2020
40.81	7.69	0.04	0.04	Anagnostouetal2020
40.92	7.75	0.04	0.03	Anagnostouetal2020
40.92	7.73	0.03	0.04	Anagnostouetal2020
40.93	7.73	0.03	0.03	Anagnostouetal2020
41.01	7.67	0.03	0.04	Anagnostouetal2020
41.13	7.74	0.03	0.03	Anagnostouetal2020
41.47	7.72	0.04	0.04	Anagnostouetal2020
41.53	7.73	0.03	0.03	Anagnostouetal2020
41.80	7.78	0.03	0.03	Anagnostouetal2020
42.39	7.74	0.03	0.04	Anagnostouetal2020
43.07	7.73	0.04	0.04	Anagnostouetal2020
43.07	7.72	0.03	0.03	Anagnostouetal2020
43.38	7.75	0.03	0.03	Anagnostouetal2020
43.74	7.69	0.03	0.03	Anagnostouetal2020
43.76	7.71	0.04	0.04	Anagnostouetal2020
44.4	7.76	0.04	0.04	Anagnostouetal2020
44.54	7.70	0.03	0.04	Anagnostouetal2020
44.83	7.73	0.04	0.03	Anagnostouetal2020
44.87	7.72	0.04	0.04	Anagnostouetal2020
44.87	7.70	0.03	0.03	Anagnostouetal2020
44.87	7.74	0.03	0.03	Anagnostouetal2020
44.87	7.76	0.04	0.03	Anagnostouetal2020
45.20	7.72	0.03	0.03	Anagnostouetal2020
45.20	7.69	0.03	0.04	Anagnostouetal2020
45.6	7.72	0.03	0.04	Anagnostouetal2020
45.70	7.76	0.03	0.02	Anagnostouetal2020
45.75	7.71	0.04	0.03	Anagnostouetal2020
46.32	7.71	0.03	0.03	Anagnostouetal2020
46.57	7.71	0.03	0.03	Anagnostouetal2020
46.66	7.72	0.03	0.03	Anagnostouetal2020
47.33	7.70	0.03	0.03	Anagnostouetal2020
47.50	7.64	0.04	0.04	Anagnostouetal2020
48.02	7.70	0.03	0.03	Anagnostouetal2020
48.02	7.68	0.04	0.04	Anagnostouetal2020
48.11	7.65	0.04	0.04	Anagnostouetal2020
48.14	7.57	0.05	0.04	Anagnostouetal2020
49.00	7.59	0.04	0.04	Anagnostouetal2020
49.13	7.64	0.04	0.04	Anagnostouetal2020
49.82	7.66	0.04	0.04	Anagnostouetal2020
49.83	7.67	0.04	0.04	Anagnostouetal2020
49.99	7.57	0.05	0.04	Anagnostouetal2020
49.99	7.58	0.05	0.04	Anagnostouetal2020
50.54	7.47	0.05	0.05	Anagnostouetal2020
50.59	7.48	0.07	0.06	Anagnostouetal2020
50.60	7.47	0.05	0.05	Anagnostouetal2020
50.60	7.45	0.07	0.06	Anagnostouetal2020
50.62	7.47	0.05	0.05	Anagnostouetal2020
50.68	7.52	0.05	0.04	Anagnostouetal2020
50.71	7.66	0.04	0.03	Anagnostouetal2020
50.86	7.68	0.03	0.04	Anagnostouetal2020
51.29	7.51	0.05	0.05	Anagnostouetal2020
51.60	7.61	0.04	0.04	Anagnostouetal2020
51.63	7.58	0.04	0.04	Anagnostouetal2020
51.63	7.56	0.05	0.05	Anagnostouetal2020
51.66	7.52	0.05	0.05	Anagnostouetal2020
51.66	7.54	0.04	0.04	Anagnostouetal2020
51.66	7.55	0.04	0.04	Anagnostouetal2020
51.71	7.49	0.05	0.05	Anagnostouetal2020
51.98	7.64	0.04	0.04	Anagnostouetal2020
51.98	7.69	0.04	0.03	Anagnostouetal2020
52.88	7.59	0.04	0.04	Anagnostouetal2020
52.88	7.66	0.04	0.04	Anagnostouetal2020
53.2	7.65	0.04	0.04	Anagnostouetal2020
53.63	7.70	0.04	0.03	Anagnostouetal2020
53.87	7.68	0.04	0.04	Anagnostouetal2020
53.94	7.71	0.04	0.04	Anagnostouetal2020
53.95	7.61	0.04	0.04	Anagnostouetal2020
53.96	7.73	0.04	0.04	Anagnostouetal2020
53.96	7.66	0.06	0.05	Anagnostouetal2020
53.97	7.81	0.04	0.03	Anagnostouetal2020
53.97	7.62	0.09	0.08	Anagnostouetal2020
