Source	Sample	Age.myr	pH2.5	pH16.7	pH25	pH50	pH75	pH83.3	pH97.5
Seki10	5.60E+01	1.66E-03	8.13E+00	8.14E+00	8.14E+00	8.15E+00	8.17E+00	8.16E+00	8.18E+00
Honisch09	1.00E+00	3.60E-03	8.06E+00	8.08E+00	8.08E+00	8.09E+00	8.11E+00	8.10E+00	8.12E+00
Honisch09	2.00E+00	3.60E-03	8.17E+00	8.19E+00	8.18E+00	8.20E+00	8.21E+00	8.21E+00	8.23E+00
Chalk17	1.00E+00	4.00E-03	8.11E+00	8.13E+00	8.13E+00	8.14E+00	8.16E+00	8.15E+00	8.17E+00
Chalk17	2.00E+00	5.00E-03	8.13E+00	8.14E+00	8.14E+00	8.15E+00	8.17E+00	8.16E+00	8.18E+00
Chalk17	3.00E+00	5.00E-03	8.10E+00	8.12E+00	8.12E+00	8.13E+00	8.15E+00	8.14E+00	8.16E+00
Chalk17	4.00E+00	8.00E-03	8.13E+00	8.15E+00	8.15E+00	8.16E+00	8.18E+00	8.17E+00	8.19E+00
Chalk17	5.00E+00	8.00E-03	8.12E+00	8.14E+00	8.13E+00	8.15E+00	8.16E+00	8.16E+00	8.18E+00
Chalk17	6.00E+00	9.00E-03	8.12E+00	8.14E+00	8.14E+00	8.15E+00	8.17E+00	8.16E+00	8.18E+00
Chalk17	7.00E+00	1.00E-02	8.15E+00	8.17E+00	8.17E+00	8.18E+00	8.20E+00	8.20E+00	8.22E+00
Chalk17	8.00E+00	1.20E-02	8.13E+00	8.15E+00	8.15E+00	8.16E+00	8.18E+00	8.17E+00	8.19E+00
Chalk17	9.00E+00	1.40E-02	8.16E+00	8.18E+00	8.18E+00	8.19E+00	8.21E+00	8.20E+00	8.22E+00
Honisch09	3.00E+00	1.45E-02	8.10E+00	8.12E+00	8.11E+00	8.13E+00	8.14E+00	8.14E+00	8.16E+00
Honisch09	4.00E+00	1.45E-02	8.21E+00	8.23E+00	8.23E+00	8.24E+00	8.26E+00	8.25E+00	8.28E+00
Chalk17	1.00E+01	1.50E-02	8.17E+00	8.19E+00	8.18E+00	8.20E+00	8.21E+00	8.21E+00	8.23E+00
Chalk17	1.10E+01	1.50E-02	8.18E+00	8.20E+00	8.20E+00	8.21E+00	8.23E+00	8.22E+00	8.24E+00
Sosdian18	2.70E+01	1.70E-02	8.22E+00	8.24E+00	8.24E+00	8.25E+00	8.27E+00	8.26E+00	8.29E+00
Chalk17	1.20E+01	1.70E-02	8.18E+00	8.20E+00	8.20E+00	8.21E+00	8.22E+00	8.22E+00	8.24E+00
Chalk17	1.30E+01	1.90E-02	8.27E+00	8.29E+00	8.29E+00	8.30E+00	8.32E+00	8.31E+00	8.33E+00
Honisch09	5.00E+00	2.04E-02	8.20E+00	8.22E+00	8.22E+00	8.23E+00	8.25E+00	8.24E+00	8.26E+00
Chalk17	1.40E+01	2.10E-02	8.22E+00	8.23E+00	8.23E+00	8.24E+00	8.26E+00	8.25E+00	8.27E+00
Chalk17	1.50E+01	2.30E-02	8.21E+00	8.23E+00	8.23E+00	8.24E+00	8.25E+00	8.25E+00	8.27E+00
Chalk17	1.60E+01	2.40E-02	8.24E+00	8.26E+00	8.26E+00	8.27E+00	8.29E+00	8.28E+00	8.30E+00
Chalk17	1.70E+01	2.60E-02	8.26E+00	8.28E+00	8.27E+00	8.29E+00	8.30E+00	8.30E+00	8.32E+00
Chalk17	1.80E+01	2.60E-02	8.27E+00	8.29E+00	8.28E+00	8.30E+00	8.31E+00	8.31E+00	8.32E+00
Chalk17	1.90E+01	3.60E-02	8.19E+00	8.21E+00	8.21E+00	8.22E+00	8.24E+00	8.23E+00	8.25E+00
Honisch09	6.00E+00	4.08E-02	8.14E+00	8.16E+00	8.16E+00	8.17E+00	8.19E+00	8.18E+00	8.20E+00
Chalk17	2.00E+01	4.70E-02	8.20E+00	8.22E+00	8.22E+00	8.23E+00	8.24E+00	8.24E+00	8.26E+00
Chalk17	2.10E+01	5.20E-02	8.21E+00	8.23E+00	8.23E+00	8.24E+00	8.26E+00	8.25E+00	8.27E+00
Chalk17	2.20E+01	6.10E-02	8.21E+00	8.23E+00	8.23E+00	8.24E+00	8.26E+00	8.25E+00	8.28E+00
Honisch09	7.00E+00	7.06E-02	8.10E+00	8.12E+00	8.12E+00	8.13E+00	8.15E+00	8.14E+00	8.16E+00
Chalk17	2.30E+01	7.70E-02	8.16E+00	8.18E+00	8.17E+00	8.19E+00	8.20E+00	8.20E+00	8.22E+00
Chalk17	2.40E+01	8.40E-02	8.16E+00	8.18E+00	8.17E+00	8.19E+00	8.20E+00	8.20E+00	8.22E+00
Chalk17	2.50E+01	8.90E-02	8.12E+00	8.14E+00	8.14E+00	8.15E+00	8.17E+00	8.16E+00	8.18E+00
Chalk17	2.60E+01	1.00E-01	8.11E+00	8.13E+00	8.13E+00	8.14E+00	8.16E+00	8.15E+00	8.18E+00
Chalk17	2.70E+01	1.06E-01	8.14E+00	8.16E+00	8.16E+00	8.17E+00	8.19E+00	8.18E+00	8.20E+00
Chalk17	2.80E+01	1.11E-01	8.10E+00	8.13E+00	8.12E+00	8.14E+00	8.15E+00	8.15E+00	8.17E+00
Honisch09	8.00E+00	1.14E-01	8.07E+00	8.09E+00	8.09E+00	8.10E+00	8.12E+00	8.11E+00	8.13E+00
Chalk17	2.90E+01	1.17E-01	8.06E+00	8.09E+00	8.08E+00	8.10E+00	8.12E+00	8.11E+00	8.14E+00
Chalk17	3.00E+01	1.19E-01	8.05E+00	8.07E+00	8.07E+00	8.08E+00	8.10E+00	8.10E+00	8.12E+00
Chalk17	3.10E+01	1.19E-01	8.08E+00	8.10E+00	8.09E+00	8.11E+00	8.13E+00	8.12E+00	8.15E+00
