"year" "pH"
1984 8.1072
1985 8.1083
1986 8.11214285714286
1987 8.1111
1988 8.1102
1989 8.122
1990 8.10658333333333
1991 8.108
1992 8.10258333333333
1993 8.10033333333333
1994 8.10029166666667
1995 8.10091666666667
1996 8.09508333333333
1997 8.097
1998 8.09104166666667
1999 8.08929166666667
2000 8.09520833333333
2001 8.095125
2002 8.09458333333333
2003 8.0787
2004 8.08279166666667
2005 8.07991666666667
2006 8.07119696969697
2007 8.0755
2008 8.07208333333333
2009 8.06177272727273
2010 8.06727272727273
2011 8.0825
2012 8.07441666666667
2013 8.07925
2014 8.07894444444444
2015 8.0747
