"year" "pH"
1988 8.1292
1989 8.1104
1990 8.1093
1991 8.10837
1992 8.10825454545455
1993 8.10287142857143
1994 8.10443125
1995 8.10195555555556
1996 8.10506666666667
1997 8.09403
1998 8.08553333333333
1999 8.08416
2000 8.07918888888889
2001 8.08368181818182
2002 8.08555
2003 8.0943
2004 8.09602727272727
2005 8.09027
2006 8.08445
2007 8.0814875
2008 8.08090833333333
2009 8.07405555555556
2010 8.07543
2011 8.07695
2012 8.06180555555556
2013 8.0647
2014 8.074695
2015 8.07175
2016 8.07556666666667
2017 8.06824444444444
2018 8.0673
