date	CMEMS.pH	CMEMS.pHer.1s	Ocean_Soda.pH	Ocean_Soda.pHer.1s
1985	8.10929	0.00081699	8.104136933	0.00115
1986	8.108254	0.000789079	8.103353495	0.00115
1987	8.106547	0.000708053	8.102145358	0.00115
1988	8.104264	0.000893326	8.099785774	0.00115
1989	8.103006	0.000668776	8.098884514	0.00115
1990	8.102029	0.000823911	8.098254328	0.00115
1991	8.101081	0.000728206	8.097453247	0.00115
1992	8.100599	0.000654949	8.097257753	0.00115
1993	8.099635	0.000715966	8.096578562	0.00115
1994	8.097717	0.000689711	8.094502611	0.00115
1995	8.095885	0.000765317	8.092554273	0.00115
1996	8.094135	0.000658288	8.090786962	0.00115
1997	8.093833	0.000613007	8.090250141	0.00115
1998	8.090627	0.000743927	8.087818047	0.00115
1999	8.088175	0.000734212	8.085064861	0.00115
2000	8.087006	0.000618534	8.084056011	0.00115
2001	8.085678	0.000618557	8.082703682	0.00115
2002	8.084368	0.000628333	8.081630072	0.00115
2003	8.082294	0.000732485	8.079594252	0.00115
2004	8.080847	0.000710167	8.078511004	0.00115
2005	8.078984	0.00071636	8.076857352	0.00115
2006	8.077456	0.000740666	8.075172423	0.00115
2007	8.075494	0.000683862	8.073408106	0.00115
2008	8.07362	0.000689732	8.071549555	0.00115
2009	8.072698	0.000627885	8.070775289	0.00115
2010	8.071131	0.000759265	8.068728368	0.00115
2011	8.068982	0.000824223	8.066898737	0.00115
2012	8.067349	0.000737861	8.065262179	0.00115
2013	8.064808	0.000752955	8.062855526	0.00115
2014	8.063553	0.000703221	8.0615784	0.00115
2015	8.06214	0.000717608	8.059209131	0.00115
2016	8.059615	0.000765008	8.056499264	0.00115
2017	8.057924	0.000790167	8.054986724	0.00115
2018	8.056726	0.000740047	8.053563646	0.00115
